,backrub_steps,case_name,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,nstruct,omega,p_aa_pp,pro_close,rama_prepro,ref,score_function_name,scored_state,total_score,yhh_planarity
7,40000,6FEG,11.49336,0.0,2.06638,0.0,0.0,-1.71544,-2.79901,1.19663,0.0,-0.0329,0.0,-0.17687,40,-0.0,0.0,0.0,-0.0,-0.0,fa_ref2015,ddG,10.03215,0.0
8,45000,6FEG,11.31146,-0.0,2.3918,-0.0,0.0,-1.64415,-2.6092,0.92294,-0.0,0.34581,-0.0,-0.24371,40,0.0,-0.0,0.0,-0.0,-0.0,fa_ref2015,ddG,10.47495,-0.0
9,50000,6FEG,11.98491,0.0,2.37005,0.0,0.0,-1.71485,-3.23338,0.93201,0.0,0.07978,0.0,-0.22023,40,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015,ddG,10.19828,0.0
0,5000,6FEG,10.03689,-0.0,1.1463,-0.0,-0.0,-2.06304,-1.06624,0.41628,-0.0,0.08647,-0.0,0.00973,50,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015,ddG,8.56638,0.0
1,10000,6FEG,10.1304,0.0,1.16333,0.0,0.0,-2.00307,-1.05582,0.41984,0.0,-0.1448,-0.0,0.00529,50,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015,ddG,8.51516,0.0
2,15000,6FEG,10.46343,-0.0,1.5,0.0,0.0,-1.85515,-1.85944,0.42261,0.0,0.04675,0.0,-0.07097,50,0.0,-0.0,0.0,0.0,-0.0,fa_ref2015,ddG,8.64723,-0.0
3,20000,6FEG,10.64935,0.0,1.73765,0.0,0.0,-1.87759,-1.80566,0.49921,0.0,0.16829,-0.0,0.02344,50,-0.0,0.0,0.0,-0.0,-0.0,fa_ref2015,ddG,9.39469,-0.0
4,25000,6FEG,10.76927,0.0,1.85719,-0.0,0.0,-1.91524,-1.78288,0.57985,-0.0,-0.04271,0.0,-0.08422,50,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015,ddG,9.38126,0.0
5,30000,6FEG,11.5161,-0.0,1.6267,-0.0,-0.0,-1.81947,-2.3054,0.65586,0.0,-0.17042,-0.0,-0.04975,50,-0.0,-0.0,-0.0,0.0,-0.0,fa_ref2015,ddG,9.45363,-0.0
6,35000,6FEG,11.48317,0.0,1.76103,-0.0,-0.0,-1.8238,-2.5991,0.77136,-0.0,0.07211,-0.0,-0.13534,50,0.0,0.0,0.0,0.0,-0.0,fa_ref2015,ddG,9.52943,-0.0
7,40000,6FEG,11.36799,0.0,2.16819,0.0,0.0,-1.66067,-2.69906,1.06029,0.0,0.09636,-0.0,-0.14817,50,-0.0,0.0,0.0,-0.0,-0.0,fa_ref2015,ddG,10.18495,-0.0
8,45000,6FEG,11.46795,-0.0,2.41505,0.0,0.0,-1.67891,-2.64074,1.01366,-0.0,0.27965,-0.0,-0.26217,50,0.0,0.0,0.0,-0.0,-0.0,fa_ref2015,ddG,10.59449,-0.0
9,50000,6FEG,11.88229,0.0,2.31675,0.0,0.0,-1.63085,-3.15214,0.90579,0.0,0.06086,0.0,-0.19524,50,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015,ddG,10.18747,0.0
0,5000,6FEG,7.78782350212901,-0.0,1.4259708405675617,-0.0,-0.0,-2.037644134540915,-1.6532107997506955,0.49722428336238655,0.0,0.29841554478744925,0.0,-0.45008,10,0.0,0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.318579236554797,0.0
1,10000,6FEG,7.783253152363232,-0.0,1.1747212761668013,0.0,0.0,-1.997162841864239,-1.1785158627678811,0.5487769656707775,0.0,-0.17717713488920595,-0.0,-0.21186,10,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.153895554679484,0.0
2,15000,6FEG,7.6854462949834375,-0.0,1.4298919779317036,0.0,0.0,-2.178276664233442,-1.414336905779237,0.6563922077365654,0.0,-0.10062224227064931,0.0,-0.24063,10,0.0,0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.0784946683683785,-0.0
3,20000,6FEG,7.5829327219156415,0.0,1.421159191868481,0.0,0.0,-1.9217812479397187,-0.732926569065512,0.418548036118779,0.0,-0.014298523164756993,0.0,0.33327,10,0.0,-0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.753633609732914,-0.0
4,25000,6FEG,7.677837392217734,-0.0,1.2029296011884636,-0.0,0.0,-1.978498319891985,-0.8642368488474403,0.3335653151582054,0.0,-0.040716998843901564,-0.0,-0.22527,10,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.330880140981076,0.0
5,30000,6FEG,8.146654409049352,-0.0,0.9833692643222713,0.0,0.0,-1.763098826320233,-1.5676895251110636,0.721537351666377,0.0,-0.22811219929573312,0.0,-0.20928,10,-0.0,0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.292660474310971,0.0
6,35000,6FEG,7.980584053370842,-0.0,1.6005166158166317,-0.0,0.0,-1.4468981787670079,-1.7887862851928276,0.8481823146828569,0.0,0.12300539106810326,-0.0,-0.34906,10,0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,7.316603910978598,-0.0
7,40000,6FEG,7.984771820627431,0.0,1.5899750504324728,0.0,0.0,-1.5266928860289628,-1.5283922620706107,0.8601368958617561,0.0,-0.022643436124192284,0.0,-0.36003,10,0.0,0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,7.357155182697895,0.0
8,45000,6FEG,7.899170055295707,0.0,1.6274798544067566,-0.0,0.0,-1.4427405868863534,-1.397461460544264,0.6777812369100509,0.0,0.05212896484724361,0.0,-0.26738,10,0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,7.416358064029142,-0.0
9,50000,6FEG,8.2235460488408,0.0,1.20798128086264,0.0,0.0,-2.017254155716599,-1.730176196823777,0.6938310475173883,0.0,-0.113619653978982,-0.0,0.18816,10,-0.0,-0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.264308370701471,-0.0
0,5000,6FEG,7.557886690823443,-0.0,1.1086219890040474,-0.0,-0.0,-2.0733453732995786,-0.9891239794135345,0.23264180246901422,0.0,0.11957595395126042,0.0,-0.07427,20,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,5.956257083534652,0.0
1,10000,6FEG,7.787929971186204,0.0,1.1180610536340212,0.0,0.0,-2.0104448195505813,-1.263017485899809,0.5033091182500311,0.0,-0.18216963676914766,-0.0,-0.09523,20,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,5.953668200850718,0.0
2,15000,6FEG,7.701514226086415,-0.0,1.2840857212073526,0.0,0.0,-2.035728366984894,-1.3940416023544913,0.5241945770212315,0.0,-0.042949499542963565,-0.0,-0.10589,20,0.0,0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.03707505543265,-0.0
3,20000,6FEG,7.708112873483637,0.0,1.3340658587906997,0.0,0.0,-2.2654080692754,-0.6732779430296887,0.5182379495693823,0.0,0.07730218950842005,-0.0,0.04746,20,0.0,-0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.699032859047051,-0.0
4,25000,6FEG,7.72128334009963,0.0,1.3973196689856207,-0.0,-0.0,-2.0662365505782545,-0.9750154968892275,0.41666433418749826,0.0,0.05305915241774173,-0.0,-0.17074,20,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.547074448223009,0.0
5,30000,6FEG,7.944471752947765,-0.0,1.0901199790861953,-0.0,0.0,-2.1262454418232455,-1.2056446785024946,0.5845618602485574,0.0,-0.08269230319941645,0.0,-0.17725,20,-0.0,-0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.2045711687573615,-0.0
6,35000,6FEG,8.070218111793709,-0.0,1.448278617856766,-0.0,-0.0,-1.6611769336054385,-1.9894570403021135,0.7277303497441352,0.0,0.06641277280893121,-0.0,-0.27017,20,0.0,0.0,0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.6620058782959894,-0.0
7,40000,6FEG,8.084615041418951,0.0,1.483987852914074,0.0,0.0,-1.7484117777207078,-1.661219479844931,0.757649109946938,0.0,-0.02365081126274049,0.0,-0.24296,20,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.892969935451584,0.0
8,45000,6FEG,8.030007333651715,0.0,1.6309362128030247,0.0,0.0,-1.868203871504004,-1.698073085110991,0.5330928044625811,0.0,0.12229773466226757,-0.0,-0.25728,20,0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.750057128964594,-0.0
9,50000,6FEG,8.197644863596478,0.0,1.376857898969397,0.0,0.0,-1.9919879201119466,-1.8123210989117524,0.6657744900310176,0.0,-0.08442546548945451,-0.0,0.00314,20,-0.0,-0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.351542768083739,0.0
0,5000,6FEG,7.567413640120231,-0.0,1.1013997933996484,-0.0,-0.0,-2.0967531156350967,-0.897627137316249,0.2451028794203589,0.0,0.09894363614687673,-0.0,-0.01317,30,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.018479696135769,0.0
1,10000,6FEG,7.607742020947436,0.0,0.8984825588624008,0.0,0.0,-2.170926004020489,-0.8505200929455441,0.343682605387138,0.0,-0.1541257243585843,-0.0,0.07034,30,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,5.674335363872357,0.0
2,15000,6FEG,7.54862103813999,-0.0,1.1553970594275516,0.0,0.0,-1.9147546817932848,-1.0134174299444112,0.31160110832933774,0.0,-0.02037003178073249,0.0,0.05129,30,0.0,-0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.06707706237845,0.0
3,20000,6FEG,7.647140915064879,0.0,1.1853124811715996,0.0,0.0,-2.2075012649566643,-0.8008077317001607,0.3736011500365495,0.0,0.04734187097722842,-0.0,0.15167,30,0.0,0.0,0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.245087420593432,-0.0
4,25000,6FEG,7.7443400946695835,-0.0,1.399177486171169,-0.0,-0.0,-2.125721717085908,-0.8693231163713335,0.48624193401988314,0.0,0.02113237151058911,-0.0,-0.12514,30,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.655847052913983,0.0
5,30000,6FEG,7.977750349234293,-0.0,1.135318309482019,-0.0,-0.0,-1.9728670242478308,-1.3802253749574902,0.5085254075896823,0.0,-0.08776471992590107,-0.0,-0.17136,30,-0.0,-0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.180736947174772,-0.0
6,35000,6FEG,8.109717991537623,0.0,1.4438013911791607,-0.0,-0.0,-1.779962710704651,-1.729535751280764,0.7010765088362363,0.0,0.043421409055146576,-0.0,-0.2019,30,0.0,0.0,0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.7885188386227515,0.0
7,40000,6FEG,7.957806127380428,0.0,1.4182136599225066,0.0,0.0,-1.7889781548920367,-1.507008828622702,0.7705885922313405,0.0,0.020628682820624356,0.0,-0.20901,30,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.871250078840161,0.0
8,45000,6FEG,8.02186897368154,0.0,1.5735735264969133,-0.0,0.0,-1.847920151986937,-1.583601184604504,0.6464834646591346,0.0,0.13223188479427783,-0.0,-0.25401,30,0.0,-0.0,0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.942636513040425,-0.0
9,50000,6FEG,8.157394146790645,0.0,1.6061848853656033,0.0,0.0,-1.8914575042835988,-1.9282354692227273,0.6466208530502477,0.0,0.05491952138493428,-0.0,-0.23137,30,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.645426433085104,0.0
0,5000,6FEG,7.424261429358689,-0.0,0.796338822987448,-0.0,-0.0,-2.1816984288492596,-0.46637620833234905,0.2629621562419622,0.0,0.0442744751534514,0.0,0.05746,40,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,5.879762246559942,0.0
1,10000,6FEG,7.589349547079118,0.0,0.9539266661425074,0.0,0.0,-2.203946324115038,-0.7337100285230918,0.33239503375680846,0.0,-0.11411866557319783,-0.0,0.04966,40,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,5.823896228767106,0.0
2,15000,6FEG,7.847133646823179,-0.0,1.1802533199407654,0.0,0.0,-2.132345487922453,-1.2590504490685817,0.29383288438991295,0.0,-0.021295729953598297,0.0,-0.08074,40,0.0,-0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,5.908528184209224,-0.0
3,20000,6FEG,7.831135502772474,-0.0,1.3045544308107484,0.0,0.0,-2.1615033220573,-1.1659991750584595,0.40540503536293526,0.0,0.044959649545004865,-0.0,0.06909,40,0.0,-0.0,0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.258552121375403,-0.0
4,25000,6FEG,7.749745008720973,0.0,1.412478862141795,0.0,0.0,-2.0755079821529185,-1.035062041566789,0.49481275699115135,0.0,0.04537710632997172,0.0,-0.17992,40,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.591843710464184,0.0
5,30000,6FEG,8.114179457447497,-0.0,1.3009996923634684,-0.0,-0.0,-1.9619413680422522,-1.5642074893271456,0.5183018151974639,0.0,-0.053168052292899226,0.0,-0.13686,40,-0.0,-0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.354164055346132,-0.0
6,35000,6FEG,8.090054137447181,0.0,1.269389095341594,-0.0,-0.0,-1.8526181298632802,-1.6103133709464146,0.6358021376115843,0.0,-0.01611362581441611,-0.0,-0.14335,40,0.0,0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.5162002437762485,-0.0
7,40000,6FEG,8.105985224630848,0.0,1.4521796612377793,0.0,0.0,-1.8680248235939336,-1.7404046715780623,0.7831406670279779,0.0,-0.014929271587083015,0.0,-0.17687,40,-0.0,0.0,0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.717946786137526,0.0
8,45000,6FEG,8.042115783212386,-0.0,1.5762771382627974,-0.0,0.0,-1.796724937073178,-1.6223823538757642,0.660429949298039,0.0,0.15689227862113153,-0.0,-0.24371,40,0.0,-0.0,0.0,-0.0,-0.0,fa_ref2015-gam,ddG,7.016607858445412,-0.0
9,50000,6FEG,8.269844360241441,0.0,1.5688072398255852,0.0,0.0,-1.8674379095145741,-2.0104922366658684,0.665080690172758,0.0,0.03620205668954224,0.0,-0.22023,40,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.662004200748884,0.0
0,5000,6FEG,7.542050833368853,-0.0,0.9393253319895152,-0.0,-0.0,-2.204152746536552,-0.6629810464194179,0.3364381443750306,0.0,0.03923773523839369,-0.0,0.00973,50,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,5.989918252015823,0.0
1,10000,6FEG,7.582007611751765,0.0,0.951103543385067,0.0,0.0,-2.147579727772994,-0.6565019604408917,0.33911756268856785,0.0,-0.0657049479542069,-0.0,0.00529,50,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.002442081657307,0.0
2,15000,6FEG,7.719993785338685,-0.0,1.1663397258936934,0.0,0.0,-2.0054761023475356,-1.1561872854967987,0.34119909373982815,0.0,0.021214050735247625,0.0,-0.07097,50,0.0,-0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.08708326786312,-0.0
3,20000,6FEG,7.794149035207761,0.0,1.2977309368690615,0.0,0.0,-2.027264289917542,-1.1227472699576992,0.397565629263011,0.0,0.07636299259525714,-0.0,0.02344,50,-0.0,0.0,0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.41579703405985,-0.0
